category,subcategory,name,price,veg_status,tags,description,restaurant_name
Unknown Category,,Big 8 - Chicken Bucket,728.57,Non-Veg,,"2pc Hot & Crispy, 2 Strips & 4pc Smoky Red chicken",KFC
Unknown Category,,HC Rice Bowlz,229.52,Non-Veg,,Aromatic Hot & Crispy Chicken rice bowl mixed with spicy gravy [serves 1],KFC
Unknown Category,,Smoky Red Chicken Rice Bowl,229.52,Non-Veg,,Aromatic Smoky Red Chicken rice bowl mixed with spicy gravy [serves 1],KFC
Unknown Category,,PC Rice Bowlz,229.52,Non-Veg,BESTSELLER,Aromatic Poprcorn Chicken rice bowl mixed with spicy gravy [serves 1],KFC
Unknown Category,,Veg Rice Bowlz,199.05,Veg,,Aromatic Veg rice bowl mixed with spicy gravy [serves 1],KFC
Unknown Category,,Plain Rice Bowl,139.05,Veg,,New Plain Rice Bowlz,KFC
Unknown Category,,Hot & Crispy Chicken - 8 pcs,799.05,Non-Veg,,Save Rs. 123 & get 8pc signature Hot & crispy chicken [serves 3-4],KFC
Unknown Category,,Hot & Crispy Chicken -6pc,628.57,Non-Veg,,Flat 10% off on 6pc signature Hot & crispy chicken [serves 2-3],KFC
Unknown Category,,Hot & Crispy Chicken-4pc,439.05,Non-Veg,,Save Rs. 24 on 4 pc of signature Hot & Crispy Chicken at a deal price,KFC
Unknown Category,,Hot & Crispy Chicken -2pc,229.52,Non-Veg,,Signature Hot & crispy chicken,KFC
Unknown Category,,Hot Chicken Wings - 4pc,179.05,Non-Veg,BESTSELLER,"Seasoned, signature KFC chicken wings",KFC
Unknown Category,,Hot & Crispy Chicken-1pc,115.24,Non-Veg,,Signature Hot & crispy chicken,KFC
Unknown Category,,Chicken Popcorn - Large,248.57,Non-Veg,BESTSELLER,"Signature bite-sized boneless chicken, with special spices in Large Size",KFC
Unknown Category,,Saucy Popcorn x CarryMinati,229.0,Non-Veg,,Special limited time Signature bite sized Boneless Chicken Popcorn in a Sweet and Spicy flavour for ultimate Taste Explosion,KFC
